document_type,owner_center,submitter_roles,required_attachments,usual_workflow,expected_turnaround,common_request_info_reasons,common_rejection_reasons,notes,status
Scholarship Validation Form,CSFA,student,Date submitted; student name/number; program/year; contact number; scholarship title; academic year; term; previous term TWA; admission status; GWA; email,CSFA Review > SAO Director Review,Needs confirmation,Missing TWA/GWA; missing scholarship title; missing academic year/term; missing email,Wrong validation cycle; AI cannot validate eligibility or award,Fields include CSFA and SAO Director remarks,SharePoint metadata verified 2026-07-09
Scholarship Validation Form v2.0,CSFA,student,Date; student name/number; mobile; academic year; academic level; grade/year level; program/strand; term/semester; scholarship/discount title; term weighted average; supporting documents; confirmation,CSFA Review > SAO Director Review,Needs confirmation,Missing supporting documents; missing confirmation; missing TWA; missing scholarship/discount title,Wrong version; incomplete academic details; eligibility cannot be confirmed,"Use v2.0 when prompt mentions grade/year level, term weighted average, and supporting documents",SharePoint metadata verified 2026-07-09
Sibling Discount Application Form,CSFA,student; parent_guardian,Date submitted; applicant student name/number/program; sibling names; sibling student numbers; sibling programs/years,CSFA Review,Needs confirmation,Missing sibling details; missing student numbers; unclear applicant/sibling relationship,Wrong discount form; duplicate or unsupported request; eligibility cannot be confirmed,Contains family information; do not expose in examples,SharePoint metadata verified 2026-07-09
Sibling Discount Application Form v2.0,CSFA,student; parent_guardian,Date; new applicant flag; PSA birth certificate; oldest student details; proof of enrollment; sibling details; confirmation,CSFA Review,Needs confirmation,Missing PSA birth certificate; missing proof of enrollment; missing confirmation; incomplete sibling details,Wrong version; missing relationship proof; eligibility cannot be confirmed,Use v2.0 when PSA birth certificate and proof of enrollment are mentioned,SharePoint metadata verified 2026-07-09
Student Activity Form,CSAD,org_officer; adviser,Date submitted; organization name; proposed activity; activity date/time; venue; objectives; activity details; president name/email; adviser name/email,Adviser Review > CSAD Head Review,Needs confirmation,Missing activity date/time; missing venue; missing adviser email; missing president email; incomplete objectives/details,Wrong activity form; activity not sufficiently described; missing adviser review,"Fields include Adviser Remarks, CSAD Head, and CSAD Head Remarks",SharePoint metadata verified 2026-07-09
Student Infraction Notice (Major Offense),CSAD,staff; student,Date submitted; infraction number; issued to; student number; program/year; infraction date; date reported; reported by/position; offense category; description; details; student email,Student Acknowledgment/Remarks > CSAD Review,Needs confirmation,Missing infraction number; missing offense category; missing details; missing student email,Wrong offense type; incomplete notice; disciplinary case requires human review,"AI must not determine guilt, sanction, or clearance status",SharePoint metadata verified 2026-07-09
Student Infraction Notice (Minor Offense),CSAD,staff; student,Date submitted; infraction number; issued to; student number; program/year; infraction date; date reported; reported by/position; offense category; description; details; student email,Student Acknowledgment/Remarks > CSAD Review,Needs confirmation,Missing infraction number; missing offense category; missing details; missing student email,Wrong offense type; incomplete notice; disciplinary case requires human review,"AI must not determine guilt, sanction, or clearance status",SharePoint metadata verified 2026-07-09
Submission of Requirements for Midyear Term F2F Classes,SAO,student,Date; data privacy statement; student number; surname; first name; college/institute; year level; birth date; vaccination card; MCL informed consent form; affirmation,SAO Review,Needs confirmation,Missing vaccination card; missing informed consent; missing affirmation; missing student number,Wrong term/form; health or consent document missing,Health/consent data is sensitive; do not train on submitted rows,SharePoint metadata verified 2026-07-09
Submission of Requirements for Midyear-Term College Assemblies,SAO,student,Date; student number; surname; first name; college/institute; vaccination card; student informed consent form,SAO Review,Needs confirmation,Missing vaccination card; missing informed consent; missing student number,Wrong assembly requirement form; incomplete health/consent documents,Health/consent data is sensitive; do not train on submitted rows,SharePoint metadata verified 2026-07-09
Submission of Requirements for SY 2022-2023,SAO,student,Date; student number; surname; first name; college/institute; vaccination card; student informed consent form,SAO Review,Needs confirmation,Missing vaccination card; missing informed consent; missing student number,Wrong school-year requirement form; incomplete health/consent documents,Health/consent data is sensitive; do not train on submitted rows,SharePoint metadata verified 2026-07-09
Scholarship Undertaking - MMCL DNA of Excellence,CSFA,student; parent or guardian,scholarship notice or instruction; signed undertaking; student details; parent or guardian signature; current CSFA validation requirements,CSFA validation > student and parent/guardian undertaking > SAO/CSFA record,Confirm with CSFA,missing scholarship variant; missing school year; unsigned undertaking; unclear parent/guardian details; other scholarships not disclosed,not validated by CSFA; incomplete undertaking; eligibility not confirmed; scholarship not available for term; discipline or conduct condition unresolved,"AY/SY 2026-2027 templates included 100, 50, and 25 variants. Do not guarantee benefit amount.",verified_second_sweep
Scholarship Undertaking - E.T. Yuchengco Institutional Scholarship,CSFA,student; parent or guardian,scholarship notice or instruction; signed undertaking; validation documents; parent or guardian signature,CSFA validation > undertaking review > scholarship record,Confirm with CSFA,missing student level; missing SHS or College-SHS Graduate variant; incomplete supporting documents,incomplete requirements; eligibility not validated; program not available; conduct condition unresolved,Templates found for SHS and College-SHS Graduate variants for AY/SY 2026-2027.,verified_second_sweep
Scholarship Undertaking - Mapua MCL SHS WES,CSFA,student; parent or guardian,scholarship notice or instruction; signed undertaking; validation documents; parent or guardian signature,CSFA validation > undertaking review > scholarship record,Confirm with CSFA,missing 25 or 50 variant; missing school year; unsigned undertaking,incomplete requirements; eligibility not validated; program not available; conduct condition unresolved,Templates found for 25 and 50 variants for SY 2026-2027.,verified_second_sweep
Scholarship Undertaking - Academic Achievement Incentive,CSFA,student; parent or guardian,CSFA scholarship email or notice; signed undertaking; validation form; parent or guardian signature; current CSFA requirements,CSFA notification > student acceptance/validation > parent/guardian undertaking > scholarship record,Confirm with CSFA,missing email or notice; missing 25 or 50 variant; missing GWA basis; missing parent/guardian signature; unclear deadline,not in qualified list; missed current deadline; incomplete validation; strand shifting condition unresolved; conduct condition unresolved,"SY 2026-2027 templates included 25 and 50 variants. Source email mentioned June 24, 2026, but do not reuse as a current deadline.",verified_second_sweep
AC Promotional Discount Application Form,CSFA,student; parent or guardian when required,completed application form; proof of qualification; current CSFA requirements,student submission > CSFA validation > approval/recording,Confirm with CSFA,missing proof of qualification; incomplete application; unclear term or school year,not eligible; incomplete requirements; program not available for term,Application form found in second SharePoint sweep.,verified_second_sweep
YGC Promotional Discount Application Form,CSFA,student; parent or guardian when required,completed application form; proof of qualification; current CSFA requirements,student submission > CSFA validation > approval/recording,Confirm with CSFA,missing proof of qualification; incomplete application; unclear term or school year,not eligible; incomplete requirements; program not available for term,Application form found in second SharePoint sweep.,verified_second_sweep
Scholarship Acceptance Confirmation,CSFA,student; parent or guardian when required,confirmation form; scholarship notice; student details; parent or guardian details when required,student confirms acceptance > CSFA validates > scholarship record updated,Confirm with CSFA,missing scholarship variant; missing notice; unsigned form; unclear acceptance or refusal,missed current deadline; incomplete confirmation; eligibility not validated,Second sweep found 100 and 50 scholarship acceptance confirmation forms.,verified_second_sweep
Student Online Co-Curricular Activity Form,CSAD,student organization officer; adviser,activity details; adviser approval; participant information; online platform; current CSAD online form requirements,organization/adviser preparation > CSAD online submission > CSAD review/approval,Supplemental guideline references at least 7 days before activity; confirm current CSAD deadline,missing adviser approval; unclear platform; missing activity purpose; submitted too close to date,unrecognized organizer; incomplete activity details; no adviser approval; activity conflicts with policy,Derived from supplemental online student discipline/activity guidelines.,verified_second_sweep
Post-Event or Campus Activity Report,CSAD,student organization officer; adviser,completed post-event report; attendance or participant data; photos or documentation if required; evaluation; financial report if fund raising,activity completion > adviser review > CSAD submission,Confirm with CSAD,missing attendance; missing evaluation; missing adviser certification; no financial report for fund raising,incomplete report; unsupported expenses; late or missing documentation,Policy set references post-event/campus activity reports and fund raising reports.,verified_second_sweep
Student Organization Financial Report,CSAD,student organization officer; adviser,audited financial report; receipts or supporting documents; book of accounts; fund raising approval reference,activity/fund raising completion > audited report > CSAD and finance review,Fund raising source references within one week after activity; confirm current CSAD deadline,missing receipts; missing adviser review; unclear proceeds; book of accounts unavailable,unapproved fund raising; unsupported expenses; incomplete accounting; late report,CSAD handbook revision references detailed audited financial report and book of accounts.,verified_second_sweep
Parental or Guardian Consent Form,CSAD,student; parent or guardian; adviser,signed consent; activity details; participant information; current CSAD consent template,student secures consent > adviser/organizer compiles > CSAD submission,Confirm with CSAD,unsigned consent; incomplete activity details; parent/guardian contact missing; mismatch with participant list,missing consent for required activity; incomplete form; late submission,Activity IRR material references signed parental consent for applicable activities.,verified_second_sweep
